provider_model_class,wksht_cd,line_num_chr,clmn_num_chr,n_rows,n_reports,nonzero_reports,min_value,p25_value,median_value,mean_value,p75_value,max_value,total_value
Critical access hospital,G200000,02003,00300,4,4,4,1129361,3166418,6247779.5,6770370.75,9851732.25,13456563,27081483
Critical access hospital,G200000,02004,00200,4,4,4,1109044,1171252.75,1556596.5,2177816.75,2563160.5,4489030,8711267
Critical access hospital,G200000,02004,00300,4,4,4,1109044,1171252.75,1556596.5,2177816.75,2563160.5,4489030,8711267
Critical access hospital,G200000,02005,00200,3,3,3,1522268,1868837,2215406,4268500.33333333,5641616.5,9067827,12805501
Critical access hospital,G200000,02005,00300,3,3,3,1522268,1868837,2215406,4268500.33333333,5641616.5,9067827,12805501
Critical access hospital,G200000,02006,00200,3,3,3,2610829,2691534.5,2772240,4912062.66666667,6062679.5,9353119,14736188
Critical access hospital,G200000,02006,00300,3,3,3,2610829,2691534.5,2772240,4912062.66666667,6062679.5,9353119,14736188
Critical access hospital,G200000,02007,00100,1,1,1,32219,32219,32219,32219,32219,32219,32219
Critical access hospital,G200000,02007,00200,2,2,2,2977609,4112707.5,5247806,5247806,6382904.5,7518003,10495612
Critical access hospital,G200000,02007,00300,2,2,2,2977609,4120762.25,5263915.5,5263915.5,6407068.75,7550222,10527831
Critical access hospital,G200000,02008,00200,1,1,1,2004116,2004116,2004116,2004116,2004116,2004116,2004116
Critical access hospital,G200000,02008,00300,1,1,1,2004116,2004116,2004116,2004116,2004116,2004116,2004116
Critical access hospital,G200000,02009,00200,1,1,1,2098776,2098776,2098776,2098776,2098776,2098776,2098776
Critical access hospital,G200000,02009,00300,1,1,1,2098776,2098776,2098776,2098776,2098776,2098776,2098776
Critical access hospital,G200000,02010,00200,1,1,1,1501428,1501428,1501428,1501428,1501428,1501428,1501428
Critical access hospital,G200000,02010,00300,1,1,1,1501428,1501428,1501428,1501428,1501428,1501428,1501428
Critical access hospital,G200000,02011,00200,1,1,1,2391217,2391217,2391217,2391217,2391217,2391217,2391217
Critical access hospital,G200000,02011,00300,1,1,1,2391217,2391217,2391217,2391217,2391217,2391217,2391217
Critical access hospital,G200000,02100,00100,1,1,1,505886,505886,505886,505886,505886,505886,505886
Critical access hospital,G200000,02100,00200,1,1,1,80008379,80008379,80008379,80008379,80008379,80008379,80008379
Critical access hospital,G200000,02100,00300,1,1,1,80514265,80514265,80514265,80514265,80514265,80514265,80514265
Critical access hospital,G200000,02101,00100,1,1,1,15349,15349,15349,15349,15349,15349,15349
Critical access hospital,G200000,02101,00200,1,1,1,40944950,40944950,40944950,40944950,40944950,40944950,40944950
Critical access hospital,G200000,02101,00300,1,1,1,40960299,40960299,40960299,40960299,40960299,40960299,40960299
Critical access hospital,G200000,02102,00100,1,1,1,2699,2699,2699,2699,2699,2699,2699
Critical access hospital,G200000,02102,00200,1,1,1,8153146,8153146,8153146,8153146,8153146,8153146,8153146
Critical access hospital,G200000,02102,00300,1,1,1,8155845,8155845,8155845,8155845,8155845,8155845,8155845
Critical access hospital,G200000,02103,00100,1,1,1,214,214,214,214,214,214,214
Critical access hospital,G200000,02103,00200,1,1,1,16706220,16706220,16706220,16706220,16706220,16706220,16706220
